App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isInvertCondition
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.instance.src.test.java.org.apache.pulsar.functions.instance.ContextImplTest.java,10,0,0,0,0,0,5,0,0,0,0,0,0,0,3.0,4.0,0,0,0,0,9,0,62,10,20,55,0,0.0,-7,1,-2,3,3,0,52.24,30,18,10,37,17,12,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.collections.ConcurrentLongHashMapTest.java,17,9,5,0,0,0,4,0,0,0,0,0,0,0,12.0,75.0,8,0,0,0,13,0,236,17,31,71,75,0.32,-4,-4,-4,1,1,0,100.0,1,1,1,5,5,5,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",managed-ledger.src.test.java.org.apache.bookkeeper.mledger.util.CallbackMutexTest.java,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1.0,0.0,0,0,0,0,2,0,64,2,4,6,1,0.02,-3,-3,-3,1,1,0,100.0,6,6,6,9,9,9,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",managed-ledger.src.test.java.org.apache.bookkeeper.mledger.impl.ManagedLedgerTest.java,77,49,14,0,0,0,73,0,0,0,0,1,0,10,,,25,1,0,0,73,0,1581,128,249,1029,276,0.17,96,86,19,5,4,1,50.0,134,86,27,38,35,8,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-io.jdbc.src.test.java.org.apache.pulsar.io.jdbc.JdbcUtilsTest.java,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,54,3,8,20,18,0.33,26,26,26,1,1,0,100.0,31,31,31,5,5,5,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",tiered-storage.jcloud.src.test.java.org.apache.bookkeeper.mledger.offload.jcloud.impl.BlockAwareSegmentInputStreamTest.java,6,5,1,0,0,0,6,0,0,0,0,0,0,0,5.0,30.0,0,0,0,0,6,0,267,6,21,93,49,0.18,2,2,2,1,1,0,100.0,4,4,4,2,2,2,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-io.mongo.src.test.java.org.apache.pulsar.io.mongodb.MongoSinkTest.java,11,0,0,0,0,0,6,6,0,0,0,0,0,5,5.0,13.0,0,2,0,0,6,0,76,11,27,64,0,0.0,-2,-2,-2,1,1,0,100.0,19,19,19,21,21,21,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.worker.src.test.java.org.apache.pulsar.functions.worker.rest.api.v3.SourceApiV3ResourceTest.java,64,0,0,0,0,0,44,0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,50,0,751,64,161,580,42,0.06,26,27,6,4,2,0,54.1,74,32,18,48,29,12,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.worker.src.test.java.org.apache.pulsar.functions.worker.rest.api.v3.SinkApiV3ResourceTest.java,64,0,0,0,0,0,44,0,0,0,0,0,0,0,0.0,0.0,0,0,5,0,50,0,745,64,166,566,42,0.06,30,27,8,4,2,0,83.67,64,32,16,34,14,8,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.worker.src.test.java.org.apache.pulsar.functions.worker.FunctionMetaDataManagerTest.java,8,4,1,0,0,0,7,0,0,0,0,0,0,0,6.0,7.0,2,3,0,0,7,0,228,11,34,172,25,0.11,-19,-19,-19,1,1,0,100.0,64,64,64,83,83,83,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.runtime.src.test.java.org.apache.pulsar.functions.auth.KubernetesSecretsTokenAuthProviderTest.java,4,4,0,0,0,0,2,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,4,0,70,10,20,58,15,0.21,-2,-2,-2,1,1,0,100.0,9,9,9,11,11,11,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.instance.src.test.java.org.apache.pulsar.functions.windowing.WindowFunctionExecutorTest.java,7,2,2,0,0,0,5,1,0,1,0,0,0,0,0.0,5.0,0,0,0,0,5,0,132,7,17,102,5,0.04,-2,-2,-2,1,1,0,100.0,10,10,10,12,12,12,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.instance.src.test.java.org.apache.pulsar.functions.source.PulsarSourceTest.java,6,2,0,0,0,0,4,0,0,0,2,0,0,0,3.0,6.0,1,2,0,0,4,0,111,6,18,78,5,0.05,9,9,4,2,2,0,82.98,28,24,14,19,15,10,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-functions.instance.src.test.java.org.apache.pulsar.functions.sink.PulsarSinkTest.java,11,3,1,0,0,0,6,0,0,0,2,0,0,0,1.0,0.0,1,0,0,0,6,0,269,22,65,129,14,0.05,-21,2,-10,2,2,0,84.07,46,36,23,67,59,34,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.naming.TopicNameTest.java,4,3,0,0,0,0,3,0,0,0,0,1,0,0,3.0,25.0,2,0,0,0,3,0,178,4,10,45,47,0.26,2,2,2,1,1,0,100.0,2,2,2,0,0,0,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-client-kafka-compat.pulsar-client-kafka.src.test.java.org.apache.kafka.clients.producer.PulsarKafkaProducerTest.java,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,2.0,1,2,0,0,4,0,139,5,12,83,0,0.0,74,81,37,2,2,0,59.87,113,86,56,39,34,20,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.common.naming.NamespaceBundlesTest.java,9,3,0,0,0,0,4,0,0,0,0,1,0,0,3.0,13.0,1,0,0,0,4,0,175,9,21,85,25,0.14,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.admin.NamespacesTest.java,29,13,1,1,0,0,22,0,0,0,0,1,0,1,11.0,25.0,8,0,0,0,22,0,723,34,89,436,65,0.09,-179,-179,-179,1,1,0,100.0,37,37,37,216,216,216,False
apache/pulsar,cc746322d51cea14b04092370bcebf695721fe70,"v2.4.0, v2.4.1-candidate-1",pulsar-client-kafka-compat.pulsar-client-kafka.src.test.java.org.apache.pulsar.client.kafka.compat.KafkaProducerInterceptorWrapperTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,2,0,53,5,15,45,17,0.32,4,4,2,2,2,0,80.0,7,6,4,3,2,2,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-functions.utils.src.test.java.org.apache.pulsar.functions.utils.ReflectionsTest.java,12,11,1,1,0,0,10,0,0,0,0,0,0,0,2.0,9.0,0,0,0,0,12,0,122,13,26,56,14,0.11,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.BacklogQuotaManagerTest.java,12,9,6,0,0,0,9,0,0,0,0,0,0,8,0.0,0.0,1,0,0,0,9,0,459,20,66,321,23,0.05,1,1,0,3,3,1,82.35,26,21,9,25,21,8,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.RateLimiterTest.java,9,6,4,0,0,0,9,0,0,0,0,0,0,1,8.0,29.0,1,0,0,0,9,0,110,9,24,45,17,0.15,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.policies.impl.NamespaceIsolationPoliciesTest.java,8,7,0,0,0,0,7,0,0,0,0,0,0,0,7.0,20.0,1,0,0,0,7,0,108,8,17,61,31,0.29,1,1,1,1,1,0,100.0,15,15,15,14,14,14,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.policies.data.PersistencePoliciesTest.java,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,8,1,1,2,2,0.25,-1,-1,-1,1,1,0,100.0,4,4,4,5,5,5,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.policies.data.AutoFailoverPolicyDataTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,25,1,2,5,3,0.12,-2,-2,-2,1,1,0,100.0,5,5,5,7,7,7,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.BatchMessageIdImplTest.java,3,3,0,0,0,0,0,0,0,0,2,0,0,0,2.0,0.0,0,0,0,0,3,0,33,3,3,7,16,0.48,0,0,0,1,1,0,100.0,20,20,20,20,20,20,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.impl.BackoffTest.java,8,6,0,0,0,0,0,0,0,0,0,0,0,0,4.0,11.0,3,0,0,0,6,0,109,8,12,39,39,0.36,0,0,0,1,1,0,100.0,2,2,2,2,2,2,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-client.src.test.java.org.apache.pulsar.client.api.ConsumerIdTest.java,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,5,0,32,5,5,10,8,0.25,2,2,2,1,1,0,100.0,11,11,11,9,9,9,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-client-auth-athenz.src.test.java.org.apache.pulsar.client.impl.auth.AuthenticationAthenzTest.java,6,4,1,0,0,0,5,0,0,0,0,0,0,0,4.0,6.0,0,0,0,2,5,0,116,7,23,81,9,0.08,-1,-1,-1,1,1,0,100.0,3,3,3,4,4,4,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.common.naming.NamespaceBundlesTest.java,9,3,0,0,0,0,4,0,0,0,0,1,0,0,3.0,13.0,1,0,0,0,4,0,175,9,21,81,25,0.14,0,0,0,1,1,0,100.0,5,5,5,5,5,5,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.common.naming.NamespaceBundleTest.java,7,5,1,0,0,0,6,0,0,0,0,2,0,0,4.0,6.0,1,0,0,0,6,0,120,7,15,54,20,0.17,-3,-3,-3,1,1,0,100.0,10,10,10,13,13,13,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.service.ServerCnxTest.java,48,36,4,0,0,0,39,0,0,0,0,0,0,6,8.0,34.0,9,0,0,0,39,0,907,59,142,793,152,0.17,-5,-1,-2,2,2,0,73.68,7,5,4,12,9,6,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.namespace.OwnershipCacheTest.java,9,7,0,0,0,0,6,0,0,0,0,0,0,4,6.0,31.0,4,0,0,0,7,0,168,9,20,136,40,0.24,0,0,0,1,1,0,100.0,11,11,11,11,11,11,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.namespace.NamespaceServiceTest.java,12,6,0,0,0,0,9,0,0,1,0,1,0,0,9.0,25.0,1,0,0,0,9,0,263,14,46,233,20,0.08,2,2,2,1,1,0,100.0,8,8,8,6,6,6,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.loadbalance.SimpleLoadManagerImplTest.java,15,3,2,0,0,0,7,0,0,0,0,0,0,0,4.0,7.0,0,0,0,0,11,0,326,15,34,161,19,0.06,0,0,0,1,1,0,100.0,7,7,7,7,7,7,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-broker.src.test.java.org.apache.pulsar.broker.admin.NamespacesTest.java,29,13,1,1,0,0,22,0,0,0,0,1,0,1,11.0,25.0,8,0,0,0,22,0,727,34,95,469,69,0.09,17,17,6,3,2,0,94.84,86,78,29,69,61,23,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-io.kinesis.src.test.java.org.apache.pulsar.io.kinesis.UtilsTest.java,5,2,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,173,5,14,63,21,0.12,1,1,1,1,1,0,100.0,23,23,23,22,22,22,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-io.kafka-connect-adaptor.src.test.java.org.apache.pulsar.io.kafka.connect.KafkaConnectSourceTest.java,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,1,0,70,4,10,21,6,0.09,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-functions.worker.src.test.java.org.apache.pulsar.functions.worker.FunctionRuntimeManagerTest.java,6,6,0,0,0,0,6,0,0,0,0,0,0,0,6.0,66.0,1,0,0,0,6,0,317,9,28,307,36,0.11,-47,-4,-24,2,2,0,67.38,93,57,46,140,100,70,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-functions.secrets.src.test.java.org.apache.pulsar.functions.secretsprovider.EnvironmentBasedSecretsProviderTest.java,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,28,4,13,15,2,0.07,-1,-1,-1,1,1,0,100.0,5,5,5,6,6,6,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-functions.secrets.src.test.java.org.apache.pulsar.functions.secretsprovider.ClearTextSecretsProviderTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,8,1,2,3,3,0.38,-1,-1,-1,1,1,0,100.0,6,6,6,7,7,7,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-functions.instance.src.test.java.org.apache.pulsar.functions.sink.PulsarSinkTest.java,11,3,1,0,0,0,6,0,0,0,0,0,0,0,1.0,0.0,1,0,0,0,6,0,269,22,65,129,12,0.04,0,0,0,1,1,0,100.0,5,5,5,5,5,5,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-flink.src.test.java.org.apache.flink.batch.connectors.pulsar.serialization.AvroSerializationSchemaTest.java,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0.0,2.0,0,0,0,0,2,0,27,2,6,33,8,0.3,1,1,1,1,1,0,100.0,3,3,3,2,2,2,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.collections.TripleLongPriorityQueueTest.java,3,3,1,0,0,0,1,0,0,0,0,0,0,0,3.0,48.0,2,0,0,0,3,0,84,3,5,30,29,0.35,1,1,1,1,1,0,100.0,4,4,4,3,3,3,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.collections.GrowableArrayBlockingQueueTest.java,6,4,2,0,0,0,6,0,0,0,0,2,0,2,6.0,90.0,3,0,0,0,6,0,154,6,16,51,74,0.48,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.collections.ConcurrentOpenLongPairRangeSetTest.java,14,13,2,0,0,0,0,0,0,0,0,2,0,0,13.0,114.0,4,0,0,0,13,0,229,14,20,82,57,0.25,36,23,12,3,3,0,57.5,38,23,13,2,2,1,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.collections.ConcurrentOpenHashMapTest.java,16,9,4,0,0,0,3,0,0,0,0,0,0,0,11.0,75.0,7,0,0,0,12,0,254,16,31,76,81,0.32,0,0,0,1,1,0,100.0,9,9,9,9,9,9,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.util.collections.ConcurrentLongHashMapTest.java,17,9,5,0,0,0,4,0,0,0,0,0,0,0,12.0,75.0,8,0,0,0,13,0,236,17,31,73,75,0.32,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.policies.impl.NamespaceIsolationPolicyImplTest.java,8,6,3,0,0,0,7,0,0,0,0,0,0,0,3.0,0.0,1,0,0,0,7,0,127,8,22,54,23,0.18,0,0,0,1,1,0,100.0,20,20,20,20,20,20,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.policies.data.PublisherStatsTest.java,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,1,0,0,0,2,0,55,2,2,12,26,0.47,2,2,2,1,1,0,100.0,30,30,30,28,28,28,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.policies.data.ConsumerStatsTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,1,0,31,1,1,8,17,0.55,2,2,2,1,1,0,100.0,21,21,21,19,19,19,False
apache/pulsar,59cf16773fad0c17a9784afc6c3df9b1f699a176,"v2.4.1, v2.4.2-candidate-1",pulsar-common.src.test.java.org.apache.pulsar.common.naming.TopicNameTest.java,4,3,0,0,0,0,3,0,0,0,0,1,0,0,3.0,25.0,2,0,0,0,3,0,178,4,10,45,47,0.26,1,1,1,1,1,0,100.0,5,5,5,4,4,4,False
