App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitConditionalStatementinAssertions
dromara/sureness,2011f39fd94a73b3706153d1d8781368c3a6c8ec,"sureness-root-0.3, sureness-root-0.4",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthUserRoleBindDaoTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,33.0,3.0,3.0,34.0,3.0,0.09,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
dromara/sureness,2011f39fd94a73b3706153d1d8781368c3a6c8ec,"sureness-root-0.3, sureness-root-0.4",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthUserDaoTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,18.0,2.0,2.0,20.0,2.0,0.11,0,0,0,1,1,0,100.0,3,3,3,3,3,3,False
dromara/sureness,2011f39fd94a73b3706153d1d8781368c3a6c8ec,"sureness-root-0.3, sureness-root-0.4",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthRoleResourceBindDaoTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,33.0,3.0,3.0,34.0,3.0,0.09,0,0,0,1,1,0,100.0,7,7,7,7,7,7,False
dromara/sureness,2011f39fd94a73b3706153d1d8781368c3a6c8ec,"sureness-root-0.3, sureness-root-0.4",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthRoleDaoTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,2,0,18.0,2.0,2.0,20.0,2.0,0.11,0,0,0,1,1,0,100.0,5,5,5,5,5,5,False
dromara/sureness,2011f39fd94a73b3706153d1d8781368c3a6c8ec,"sureness-root-0.3, sureness-root-0.4",sample-tom.src.test.java.com.usthe.sureness.sample.tom.dao.AuthResourceDaoTest.java,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,5,0,39.0,5.0,5.0,54.0,5.0,0.13,0,0,0,1,1,0,100.0,12,12,12,12,12,12,False
dromara/sureness,792440399d3a5c97ce9f51f2c98ad2ea7f1ed2ae,"sureness-root-0.4.2, sureness-root-0.4.3",core.src.test.java.com.usthe.sureness.subject.creater.NoneSubjectServletCreatorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,25.0,3.0,6.0,15.0,2.0,0.08,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
dromara/sureness,792440399d3a5c97ce9f51f2c98ad2ea7f1ed2ae,"sureness-root-0.4.2, sureness-root-0.4.3",core.src.test.java.com.usthe.sureness.subject.creater.JwtSubjectServletCreatorTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,31.0,3.0,6.0,27.0,2.0,0.06,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
dromara/sureness,792440399d3a5c97ce9f51f2c98ad2ea7f1ed2ae,"sureness-root-0.4.2, sureness-root-0.4.3",core.src.test.java.com.usthe.sureness.subject.creater.BasicSubjectServletCreatorTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,2,0,34.0,3.0,6.0,24.0,3.0,0.09,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
dromara/sureness,792440399d3a5c97ce9f51f2c98ad2ea7f1ed2ae,"sureness-root-0.4.2, sureness-root-0.4.3",core.src.test.java.com.usthe.sureness.matcher.util.TirePathTreeTest.java,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0,0,0,0,2,0,84.0,4.0,5.0,9.0,31.0,0.37,0,0,0,1,1,0,100.0,38,38,38,38,38,38,False
dromara/sureness,792440399d3a5c97ce9f51f2c98ad2ea7f1ed2ae,"sureness-root-0.4.2, sureness-root-0.4.3",core.src.test.java.com.usthe.sureness.matcher.DefaultPathRoleMatcherTest.java,6,2,0,0,0,0,0,4,0,0,0,0,0,0,4.0,5.0,0,2,0,0,4,0,76.0,6.0,10.0,41.0,4.0,0.05,0,0,0,1,1,0,100.0,6,6,6,6,6,6,False
dromara/sureness,b15605758b2d1dda75ad1aa800bc8c399c6dadd6,"sureness-root-0.4.4, sureness-root-0.4.5",core.src.test.java.com.usthe.sureness.util.JsonWebTokenUtilTest.java,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3.0,0,0,0,0,3,0,49.0,4.0,4.0,34.0,18.0,0.37,33,33,33,1,1,0,100.0,36,36,36,3,3,3,False
