App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isRemoveMethodAnnotation
thorntail/thorntail,3625cead7488e47ab745626b2dc6e2a366da78ac,"2.2.1.Final, 2.3.0.Final",core.container.src.test.java.org.wildfly.swarm.container.runtime.ArtifactDeployerTest.java,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0.0,6.0,0,6,0,0,6,0,72,8,26,42,0,0.0,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
thorntail/thorntail,3625cead7488e47ab745626b2dc6e2a366da78ac,"2.2.1.Final, 2.3.0.Final",core.container.src.test.java.org.wildfly.swarm.container.config.ConfigViewFactoryTest.java,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5.0,24.0,1,0,0,0,5,0,59,5,8,36,11,0.19,3,3,3,1,1,0,100.0,3,3,3,0,0,0,False
thorntail/thorntail,42ca6e58fec26ea38c515391daa93ba14a571117,"2.5.0.Final, 2.6.0.Final",testsuite.testsuite-buildtool.multi-module.api.src.test.java.consumer.SampleTest.java,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,16,2,4,6,1,0.06,-1,-1,-1,1,1,0,100.0,6,6,6,7,7,7,True
thorntail/thorntail,42ca6e58fec26ea38c515391daa93ba14a571117,"2.5.0.Final, 2.6.0.Final",meta.fraction-metadata.src.test.java.org.wildfly.swarm.fractions.FractionListTest.java,8,4,1,0,0,0,0,0,0,0,0,0,0,0,7.0,21.0,2,0,0,0,7,0,64,8,15,55,19,0.3,-5,-5,-5,1,1,0,100.0,15,15,15,20,20,20,True
thorntail/thorntail,42ca6e58fec26ea38c515391daa93ba14a571117,"2.5.0.Final, 2.6.0.Final",thorntail-runner.src.test.java.org.wildfly.swarm.runner.CachingArtifactResolvingHelperTest.java,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,4,0,35,6,17,25,10,0.29,-2,-2,-2,1,1,0,100.0,1,1,1,3,3,3,False
thorntail/thorntail,8d7976709b1ac1eb61a9c6a1f692f4dd95fc73b6,"2016.8.1, 2016.9",tools.src.test.java.org.wildfly.swarm.tools.DependencyManagerTest.java,9,5,0,0,0,0,5,0,0,0,0,0,0,0,5.0,53.0,0,0,0,0,5,0,110,9,27,69,25,0.23,-75,0,-38,2,1,0,100.0,154,132,77,229,207,114,False
thorntail/thorntail,8d7976709b1ac1eb61a9c6a1f692f4dd95fc73b6,"2016.8.1, 2016.9",container.src.test.java.org.wildfly.swarm.cli.ParseStateTest.java,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2.0,20.0,2,0,0,0,4,0,37,4,4,16,19,0.51,-8,-8,-8,1,1,0,100.0,2,2,2,10,10,10,False
thorntail/thorntail,fb479d22344565084d7a85a4226f9f3a12ab4aa3,"2016.10.0, 2016.11.0",fraction-list.src.test.java.org.wildfly.swarm.fractionlist.FractionListTest.java,6,4,0,0,0,0,4,0,0,0,0,0,0,0,5.0,17.0,2,0,1,0,5,0,49,6,12,40,18,0.37,2,2,2,1,1,0,100.0,2,2,2,0,0,0,False
thorntail/thorntail,7975df32e00a9a2afc95ed26c8340e13a85b8d34,"2017.3.2, 2017.3.3",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.HTTPSCustomizerTest.java,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,2,0,44,3,8,33,14,0.32,6,6,6,1,1,0,100.0,15,15,15,9,9,9,False
thorntail/thorntail,7975df32e00a9a2afc95ed26c8340e13a85b8d34,"2017.3.2, 2017.3.3",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.CertInfoProducerTest.java,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,29,3,6,17,6,0.21,4,4,4,1,1,0,100.0,4,4,4,0,0,0,False
thorntail/thorntail,309053dc0c1cb21370a5c460d1c3686784a1eaeb,"2017.3.3, 2017.4.0",fractions.topology.src.test.java.org.wildfly.swarm.topology.runtime.AdvertisingMetadataProcessorTest.java,4,2,0,0,0,0,3,0,0,0,0,0,0,0,0.0,3.0,2,0,0,0,3,0,42,4,11,36,6,0.14,0,0,0,1,1,0,100.0,1,1,1,1,1,1,False
thorntail/thorntail,309053dc0c1cb21370a5c460d1c3686784a1eaeb,"2017.3.3, 2017.4.0",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.HttpSecurityPreparerTest.java,11,6,0,0,0,0,8,0,0,0,0,0,0,0,0.0,8.0,0,0,0,0,8,0,117,11,24,123,18,0.15,-25,2,-12,2,2,1,98.32,47,45,24,72,72,36,False
thorntail/thorntail,309053dc0c1cb21370a5c460d1c3686784a1eaeb,"2017.3.3, 2017.4.0",fractions.javaee.undertow.src.test.java.org.wildfly.swarm.undertow.runtime.ContextPathArchivePreparerTest.java,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0.0,4.0,4,0,0,0,4,0,52,4,8,43,16,0.31,1,1,1,1,1,0,100.0,1,1,1,0,0,0,False
thorntail/thorntail,309053dc0c1cb21370a5c460d1c3686784a1eaeb,"2017.3.3, 2017.4.0",core.container.src.test.java.org.wildfly.swarm.container.config.MapConfigNodeFactoryTest.java,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,42,1,1,7,7,0.17,0,0,0,1,1,0,100.0,4,4,4,4,4,4,False
thorntail/thorntail,309053dc0c1cb21370a5c460d1c3686784a1eaeb,"2017.3.3, 2017.4.0",fractions.swagger.src.test.java.org.wildfly.swarm.swagger.SwaggerArchiveTest.java,5,2,0,0,0,0,3,0,0,0,0,1,0,0,,,2,0,0,0,4,0,42,5,9,47,11,0.26,26,25,13,2,1,0,100.0,28,26,14,2,1,1,False
thorntail/thorntail,52d892a64ce68e4497626c361a972cdac35d2367,"2017.6.0, 2017.6.1",fractions.javaee.jaxrs.src.test.java.org.wildfly.swarm.jaxrs.JAXRSArchiveTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,3,0,20,3,3,15,3,0.15,-68,-68,-68,1,1,0,100.0,0,0,0,68,68,68,False
thorntail/thorntail,a7274d792bad5c29155f1b4673737576f9e9fbc4,"2018.3.3, 2018.4.0",fractions.javaee.jaxrs.src.test.java.org.wildfly.swarm.jaxrs.runtime.DefaultApplicationDeploymentProcessorTest.java,7,2,0,0,0,0,7,0,0,0,0,0,0,0,0.0,7.0,0,0,0,0,7,0,77,7,17,54,9,0.12,2,2,2,1,1,0,100.0,6,6,6,4,4,4,False
