App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isSplitAttribute
groupon/DotCi,e17f246710c1e7a6c24aa5cba2e5beb751ddf690,"DotCi-2.5, DotCi-2.6.0",src.test.java.com.groupon.jenkins.util.GithubOauthLoginActionTest.java,4,0,0,0,0,0,1,3,1,0,0,0,0,0,1.0,2.0,0,0,0,0,3,0,37,4,12,42,3,0.08,3,3,3,1,1,0,100.0,4,4,4,1,1,1,False
groupon/DotCi,23c8d2fa91be936d38c230f6d4da2d6338d66836,"DotCi-2.9.2, DotCi-2.10.0",src.test.java.com.groupon.jenkins.github.services.GithubRepositoryServiceTest.java,4,0,0,0,0,0,3,3,0,0,0,0,0,0,0.0,3.0,0,3,0,0,3,0,34,4,12,30,0,0.0,3,2,2,2,1,0,100.0,5,3,2,2,1,1,False
groupon/DotCi,4d64fb69630f475d877273db786a235f792f08a7,"DotCi-2.19.1, DotCi-2.19.3",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,9,3,0,0,0,0,0,0,0,0,0,1,0,0,1.0,0.0,0,0,0,0,6,0,46,9,17,34,11,0.24,4,4,4,1,1,0,100.0,20,20,20,16,16,16,False
groupon/DotCi,54cca29039ab7e318c805d73f241f95fb9c072e2,"DotCi-2.20.1, DotCi-2.21.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,12,4,1,0,0,0,0,0,0,0,0,1,0,0,1.0,2.0,0,0,0,0,9,0,65,12,23,48,19,0.29,25,25,25,1,1,0,100.0,39,39,39,14,14,14,False
groupon/DotCi,ff2d32d4e32c5728de3907b8ea265743b5167026,"DotCi-2.22.1, DotCi-2.22.26.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,16,3,1,0,0,0,0,0,0,0,0,1,0,0,1.0,6.0,0,0,0,0,13,0,78,16,30,64,18,0.23,19,10,3,7,2,0,57.58,59,15,8,40,12,6,False
groupon/DotCi,ff2d32d4e32c5728de3907b8ea265743b5167026,"DotCi-2.22.1, DotCi-2.22.26.0",src.test.java.com.groupon.jenkins.extensions.DotCiExtensionsHelperTest.java,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,2,0,45,3,4,26,4,0.09,41,41,41,1,1,0,100.0,50,50,50,9,9,9,False
groupon/DotCi,56cc0a3b92f5bd51c7057c77d47e776c641e5182,"DotCi-2.25.1, DotCi-2.26.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,16,3,1,0,0,0,0,0,0,0,0,1,0,0,1.0,6.0,0,0,0,0,13,0,78,16,30,64,18,0.23,14,8,3,5,2,0,58.97,46,15,9,32,12,6,False
groupon/DotCi,4bffa4daad47dcb36737784e72f1a10ef1c7f66b,"DotCi-2.27.3, DotCi-2.28.0",src.test.java.com.groupon.jenkins.buildtype.dockercompose.DockerComposeEnvContributorTest.java,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,2.0,0,0,0,0,2,0,24,2,5,23,2,0.08,-11,-11,-11,1,1,0,100.0,9,9,9,20,20,20,False
groupon/DotCi,aee8c5ed34e048ccf1a3191f999f0aaffcc55d03,"DotCi-2.28.0, DotCi-2.28.1",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,21,10,1,0,0,0,0,0,0,0,0,1,0,0,1.0,11.0,0,0,0,0,18,0,113,21,41,92,34,0.3,44,44,15,3,1,0,100.0,58,49,19,14,8,5,False
groupon/DotCi,9f193e0fe3f789569788a3548530caaca3915445,"DotCi-2.28.1, DotCi-2.30.0",src.test.java.com.groupon.jenkins.mongo.CauseActionConverterTest.java,4,2,0,0,0,0,4,0,0,0,0,0,0,0,2.0,6.0,0,0,0,0,4,0,34,4,13,27,8,0.24,71,70,36,2,1,0,100.0,73,70,36,2,2,1,False
groupon/DotCi,5c0086379cf2165e04d7315af1079ff198f76aad,"DotCi-2.35.0, DotCi-2.36.0",src.test.java.com.groupon.jenkins.github.GithubWebhookTest.java,7,1,0,0,0,0,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,5,0,67,7,19,68,3,0.04,6,6,3,2,1,0,100.0,40,36,20,34,30,17,False
groupon/DotCi,5c0086379cf2165e04d7315af1079ff198f76aad,"DotCi-2.35.0, DotCi-2.36.0",src.test.java.com.groupon.jenkins.dynamic.build.cause.BuildCauseTest.java,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0,14.0,0,0,0,0,3,0,30,3,3,32,9,0.3,-2,-2,-2,1,1,0,100.0,4,4,4,6,6,6,False
groupon/DotCi,5c0086379cf2165e04d7315af1079ff198f76aad,"DotCi-2.35.0, DotCi-2.36.0",src.test.java.com.groupon.jenkins.dynamic.build.DynamicBuildModelTest.java,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,5,0,85,12,42,52,4,0.05,9,9,9,1,1,0,100.0,48,48,48,39,39,39,False
groupon/DotCi,d9ba79d42da1a5cbd2ea48e3cb3f18b24e821f41,"DotCi-2.36.2, DotCi-2.37.0",src.test.java.com.groupon.jenkins.github.CommitStatusUpdateQueueListenerTest.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,1,0,0,1,0,21,3,8,8,0,0.0,-9,0,-4,2,1,0,100.0,8,7,4,17,16,8,False
groupon/DotCi,099feb29d7cead2c4c193b5080dbc320cea0ff29,"DotCi-2.38.3, DotCi-2.38.4",src.test.java.com.groupon.jenkins.dynamic.build.DynamicBuildModelTest.java,6,1,0,0,0,0,4,0,0,0,0,0,0,0,0.0,2.0,0,2,0,0,5,0,90,12,42,54,4,0.04,5,5,5,1,1,0,100.0,11,11,11,6,6,6,False
groupon/DotCi,6b8b910fd582eca13b79b9ab38387ec959a4c098,"DotCi-2.38.5, DotCi-2.38.6",src.test.java.com.groupon.jenkins.buildtype.util.shell.ShellCommandsTest.java,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,0,2,0,13,2,3,6,3,0.23,8,8,8,1,1,0,100.0,11,11,11,3,3,3,False
groupon/DotCi,6b8b910fd582eca13b79b9ab38387ec959a4c098,"DotCi-2.38.5, DotCi-2.38.6",src.test.java.com.groupon.jenkins.buildtype.dockercompose.BuildConfigurationTest.java,21,10,1,0,0,0,0,0,0,0,0,1,0,0,6.0,11.0,0,0,0,0,18,0,113,21,39,98,34,0.3,3,3,3,1,1,0,100.0,152,152,152,149,149,149,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.util.GroovyYamlTemplateProcessorTest.java,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4.0,14.0,0,0,0,0,4,0,40,4,7,29,9,0.23,2,2,1,2,1,0,100.0,28,17,14,26,17,13,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.util.GithubOauthLoginActionTest.java,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,2.0,0,0,0,0,3,0,37,4,12,42,3,0.08,3,3,2,2,1,0,100.0,28,18,14,25,18,12,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.notifications.PusherEmailNotifierTest.java,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.0,0,0,0,0,3,0,27,4,9,20,3,0.11,-3,0,-2,2,1,0,100.0,17,13,8,20,13,10,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.dynamic.build.execution.WorkspaceFileExporterTest.java,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,2,0,23,2,6,18,3,0.13,2,2,1,2,1,0,100.0,24,16,12,22,14,11,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.dynamic.build.commithistory.CommitHistoryViewTest.java,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0,0,0,0,1,0,22,1,2,13,2,0.09,1,2,0,2,1,0,100.0,17,9,8,16,9,8,False
groupon/DotCi,a1af5381174df1a23b5df9d7ca133216f982d79d,"DotCi-2.38.6, DotCi-2.38.7",src.test.java.com.groupon.jenkins.dynamic.build.GithubBranchParameterDefinitionTest.java,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1.0,3.0,0,0,0,0,2,0,18,3,6,15,2,0.11,1,1,0,2,1,0,100.0,12,6,6,11,6,6,False
groupon/DotCi,5870f7440a1757efe49d1d8686fc492eb626f6c6,"DotCi-2.39.6, DotCi-2.39.7",src.test.java.com.groupon.jenkins.buildsetup.GithubReposControllerTest.java,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,22,3,7,9,1,0.05,5,5,5,1,1,0,100.0,11,11,11,6,6,6,False
groupon/DotCi,6b9e91bd4007cee1337b4e2ef7c49b330f4b5d71,"DotCi-2.39.7, DotCi-2.39.8",src.test.java.com.groupon.jenkins.github.CommitStatusUpdateRunListenerTest.java,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0.0,4.0,0,4,0,0,5,0,38,7,20,45,0,0.0,0,0,0,1,1,0,100.0,19,19,19,19,19,19,False
