App,SHA,Tag,TestFilePath,NumberOfMethods,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test,LOC,NOM,WMC,RFC,NAs,AsD,codeChurnTotal,codeChurnMax,codeChurnAvg,commits,Contributors,minorContributors,contributorsExperience,addLinesCount,addLinesMax,addLinesAvg,removedLinesCount,removedLinesMax,removedLinesAvg,isReplaceTryCatchWithAssertThrows
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-catalog.src.test.java.org.opencb.opencga.catalog.io.PosixCatalogIOManagerTest.java,3,2,0,0,0,0,2,0,0,0,0,1,0,0,2.0,4.0,0,0,1,0,2,0,39.0,3.0,9.0,26.0,7.0,0.18,94,70,10,9,3,1,78.57,117,70,13,23,10,3,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.variant.DBObjectToVariantSourceConverterTest.java,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,62.0,3.0,4.0,36.0,24.0,0.39,148,82,15,10,6,2,58.42,169,82,17,21,6,2,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-storage.opencga-storage-core.src.test.java.org.opencb.opencga.storage.core.ThreadRunnerTest.java,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.0,0.0,0,1,0,0,1,0,211.0,2.0,8.0,16.0,0.0,0.0,267,101,24,11,2,0,94.86,367,116,33,100,70,9,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.variant.VariantMongoDBAdaptorTest.java,4,4,3,0,0,0,4,0,0,0,0,0,0,0,4.0,7.0,0,0,0,0,4,0,56.0,4.0,11.0,44.0,9.0,0.16,-159,56,-6,26,4,2,81.53,351,65,14,510,308,20,False
opencb/opencga,2605d6a7c2ac5ccfd3215d43cc1f5fffef8d21d0,"0.2, 0.2.1",opencga-storage.src.test.java.org.opencb.opencga.storage.alignment.AlignmentProtoHelperTest.java,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0,185.0,3.0,12.0,52.0,0.0,0.0,18,16,9,2,2,0,50.0,25,16,12,7,7,4,False
opencb/opencga,d7e7a047395e8e3fe86b49bd3702574f7ab58fd5,"0.3, 0.3.1",opencga-storage.src.test.java.org.opencb.opencga.storage.variant.mongodb.DBObjectToVariantSourceConverterTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,58.0,3.0,4.0,34.0,15.0,0.26,105,82,52,2,1,0,100.0,107,82,54,2,2,1,False
opencb/opencga,d7e7a047395e8e3fe86b49bd3702574f7ab58fd5,"0.3, 0.3.1",opencga-storage.src.test.java.org.opencb.opencga.storage.variant.mongodb.DBObjectToVariantStatsConverterTest.java,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,42.0,3.0,4.0,13.0,10.0,0.24,15,11,3,5,1,0,100.0,55,28,11,40,17,8,False
opencb/opencga,d7e7a047395e8e3fe86b49bd3702574f7ab58fd5,"0.3, 0.3.1",opencga-storage.src.test.java.org.opencb.opencga.storage.variant.VariantMongoDBAdaptorTest.java,10,8,5,0,0,0,0,0,0,4,0,0,0,0,4.0,0.0,2,0,0,0,8,0,142.0,10.0,18.0,68.0,33.0,0.23,1,1,1,1,1,0,100.0,6,6,6,5,5,5,False
opencb/opencga,7b7f90134d83e4dda025a11943e297641e0a33ae,"0.3.1, 0.3.2",opencga-storage.src.test.java.org.opencb.opencga.storage.variant.mongodb.DBObjectToVariantConverterTest.java,6,1,0,0,0,0,0,1,0,0,0,0,0,0,1.0,4.0,0,0,0,0,5,0,97.0,6.0,7.0,46.0,7.0,0.07,-8,-8,-8,1,1,0,100.0,7,7,7,15,15,15,False
opencb/opencga,7b7f90134d83e4dda025a11943e297641e0a33ae,"0.3.1, 0.3.2",opencga-storage.src.test.java.org.opencb.opencga.storage.variant.mongodb.DBObjectToArchivedVariantFileConverterTest.java,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2.0,6.0,2,0,0,0,4,0,98.0,5.0,6.0,30.0,12.0,0.12,-4,-4,-4,1,1,0,100.0,4,4,4,8,8,8,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-catalog.src.test.java.org.opencb.opencga.catalog.managers.CatalogManagerTest.java,45,21,5,0,0,0,33,0,2,4,0,0,0,1,31.0,190.0,8,8,4,2,33,0,715.0,45.0,122.0,581.0,123.0,0.17,397,126,2,264,6,3,59.86,5922,387,22,5525,879,21,False
opencb/opencga,c8ef3fe0f0fbfe8169eccae0c54223151a709288,"0.3.2, show",opencga-storage.opencga-storage-mongodb.src.test.java.org.opencb.opencga.storage.mongodb.variant.converters.DocumentToVariantStatsConverterTest.java,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,2.0,0,0,0,0,3,0,63.0,4.0,5.0,22.0,11.0,0.17,46,16,5,9,2,0,66.44,96,24,11,50,25,6,False
