index,App,SHA,TestFilePath,LOC,NOM,WMC,RFC,NAs,AsD,NumberOfMethods,AssertionRoulette,ConditionalTestLogic,ConstructorInitialization,DefaultTest,EmptyTest,ExceptionCatchingThrowing,GeneralFixture,MysteryGuest,PrintStatement,RedundantAssertion,SensitiveEquality,VerboseTest,SleepyTest,DuplicateAssert,UnknownTest,IgnoredTest,ResourceOptimism,MagicNumberTest,DependentTest,SplitClass,isSplitClass
20,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/ArangoVertexCollectionTest.java,254,26,35,258,0.32,82,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
21,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/ArangoViewTest.java,51,7,8,46,0.24,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
22,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/PackageVersionTest.java,16,2,3,27,0.13,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
23,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/internal/QueueTimeMetricsImplTest.java,36,6,8,17,0.14,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
24,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/internal/HostHandlerTest.java,114,14,22,35,0.22,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
25,arangodb/arangodb-java-driver,6b29cb734f644a926f0a2d2045dac7fd13be2b8b,com/arangodb/util/UnicodeUtilsTest.java,21,4,6,8,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
26,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoCollectionTest.java,2126,183,263,2047,0.35,752,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
27,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoCursorTest.java,38,11,14,15,0.08,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
28,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoDatabaseTest.java,756,98,163,671,0.23,171,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
29,arangodb/arangodb-java-driver,3d50654dd774665d8588efa4f0bdb80e7f995fbc,com/arangodb/ArangoDBTest.java,291,44,53,231,0.21,61,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
